Ok?,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname,Country,pfp,(Optional) Illustration Submission - .png or .psd files preferred,Original_Message,Translation
,保村成【ほむらみのり】(@izumochi01),保村,Japan,1B77AnQ20YTRkhV1fQm0NgHYSPicjgVze.png,artbook/thumbs_small/保村成[ほむらみのり]_.png,ねぽらぼ1周年おめでとうございます！もう1年経ったのかと思うと、とても早く感じます！これからの1年もお体に気をつけて配信して頂けたら幸いです！皆様の配信、とても楽しく見させていただいております！これから応援し続けております！5期生さいつよ！！！！！,
,@Yogulppe,よーぐる,Japan,1mGd9JeYSMEN3y6NmgceK0ugk1M7XwI-v.png,artbook/thumbs_small/りさ_.png,"ねぽらぼ1周年おめでとー！！
これからもずっと応援してます！！",
,スィフォミミック#0532 / 水火 @sui_hi_sf,ミミック,Japan,1d2-q8-Tv0q0jAe3XIGT1eZHa0TEgCRoI.png,artbook/thumbs_small/ミミック_.png,"座長・ねねち・ラミィちゃん・ししろん、一周年おめでとうございます！
デビュー以来この一年間とてもとても楽しく配信・その他活動をみさせていただきました！
また次の一年間も楽しみです！！(*'ω'*)
今後も4人が仲良く健康に活動していけますように！
これからも応援していきます　・ω・)ゞ
",
,@akubi_darake,ひらい いち。,Japan,1b6uI3t7GWwW4NBkwAraov-xVIC0SpdDs.png,artbook/thumbs_small/ひらいいち_.jpg,"‪4人それぞれ違った強さをもっていて、集まったら無敵になる！！‬
‪そんなねぽらぼが大好きです。‬
‪1年間たくさんの笑顔をくれてありがとう。‬
‪1周年おめでとうございます！！‬",
,雪風ときみ#8459 / @tokimi_yukikaze,雪風ときみ,Japan,1N3WDcCWgUej4ThWZ_7NwCmxY0xIRYaoV.png,,"座長、デビュー1周年おめでとうございます！🎉

今までただ漫然と灰色の日々を過ごしていたボクだけど、出会ったその時から、目に映る世界がまるでキラキラと色付いたように感じられました
楽しいことも嬉しいこともそうじゃないこともたくさんあったけど、この1年時間が経つのが光の矢のようにあっという間で、笑ったり泣いたり感情ジェットコースターみたいでしたw

この世界に生まれてきてくれて、ボクの前に顕れてくれて、ほんとに本当にありがとう
願わくば、この喜びと感謝と祝福が、少しでも貴女の元に届きますように
そしてこれから先も貴女の行く道が素敵なものになりますように

ポルカ、好きだよ、大好き、愛してんで",
,#7521 / @itsyoboibrent,ItsyoboiBrent,Philippines,1TOf4luRjI0OHCABTUU5aU0DeBEoNH3Q0.png,artbook/thumbs_small/MAV_ItsyoboiBrentブレント_.png,ねぽらぼ１周年おめでとうございます！！！ありがとうみんな！あなたの配信はすべてとても楽しいでした！未来の配信頑張ってくださいね！！！！！I wish the best for all of you! 🎉🎉❤🤍💙🧡,
,あまき#3177,あまき,Japan,Default.png,,1周年おめでとう！いつも楽しい時間をありがとう！これからもずっと応援します！！,
,ONC,ONC,,Default.png,,1周年おめでとう！これから2周年、5周年、10周年も期待します！,
,uluvtu#7904,すまげー,Japan,1D2Zm1Asrfj8nVyhMCSBAY5-z8k3BofQn.png,,"1周年おめでとう🎉🎉🎉🎉
これからも仲良く元気なねぽらぼでいてください！！！",
,@oshineko_holo,推し事ねこ,Japan,19nD-oW7WIILZ6CcvcYbkplCrqDO933vK.png,,"1周年おめでとうございます！！
新社会人となり、だんだん仕事に行くのが辛くなっていたときホロライブに、5期生に出会いました。
最初はただなんとなく見ているだけだったのに、そのうち応援したいと思うようになり、今では自分の生きがいになりました。
普段から楽しい配信をありがとうございます！これからもお体に気を付けて、頑張りすぎない程度に頑張ってください！ずっとずっと応援しています！！！",
,今日から金使うこーへー#6963,今日から金使うこーへー,Japan,1lBk12KoG-HDmOeQ1Igpy_6_OmJwAAsQF.png,,1周年おめでとうございます！！楽しいことも大変なこともあった１年だったと思いますが、ねぽらぼの４人ならこれからも乗り越え、輝いていけると思います！！１リスナーとして、これからも応援しています！！,
,Shiro.Neko#3230,Shiro.Neko,,Default.png,,1周年おめでとうございます。いつもとても楽しいですよ！ありがとうございました。,
,Jandope # 5695,Jandope,Philippines,Default.png,,2020年を楽しく過ごせたことに感謝して、2021年も一緒に楽しい年にしましょう。,
,紅葉#6560/@buta_tukune,紅葉(もみじ・こうよう・クレハ),Japan,1uOtbGdKQfQFWzFxp9xyUBz4XfZkAymjZ.png,,4人とも1周年おめでとう！！！色々失敗しちゃった日、そんな時にねぽらぼ配信を見ると本当に元気になる！モーリーオンラインのサインタペストリー家で授業を受ける場所の後ろに飾って、疲れたり詰まったりした時に見て元気をもらっています。一生の思い出で、一生の宝物になりました。みんな大好き！！！これからも応援していくからね！！！！！！,
,小森エンジェラ(@gjmajk586),小森,Japan,1wUvdaP7pgTo6OqxcowCysCJHyFSgatT5.png,,5期生の皆1周年おめでとう〜5期生のおかげで他のホロメンやホロライブの楽しさをしれたと思う!だから1周年が本当に嬉しく思う！これから先も10年ぐらい・・いや100年も5期生の絆でのし上がってくれることを期待してます！,
,vtange#0647,vtange,United States of America,Default.png,,５期生の皆さん、一周年おめでとうございます！この素晴らしい一年間本当にお疲れさまでした。次の一年、どんな冒険が私たちを待ってるんでしょ? 全力で見に行きましょう！,
,neeyr#5072 / @zankinoyaiba,にぇーあ,Japan,1DK_SfvvSQH9T4KETbqCTIa8g-3M0xIjx.png,,こんねぽらぼ～！みんな、1周年おめでとう！これからもどんどんどんどん盛り上がっていくよー！,
,HiJeff#6411／RelaxHandCreamHiJeff(ハイジェフ)(@yin96224),HiJeff,,1-eUvvD3GMtnsbaNHAoYByuZFXCNkCMb8.png,,デビュー1周年おめでとうございます。 早いもので、もう1年が経ちました！私は10月からのお付き合いになりますが、ねぽらぽの応援に参加できて嬉しいです。 これからも応援しています！頑張ってください！五期生の絆最高だぜ！,
,ceej#0061 / @_revelink,せちゃんceej,Philippines,1YYu2jDECMCdtp5NZh3iUY3olZH03G8jX.png,,"ねぽらぼ 、1周年おめでとうございます！！！
これからも応援しています🥟🎪☃️♌",
,せと@kani0706,せと,Japan,1b01hYJVnJLiYmFDvqflwgFcp-XFbpU7J.png,,"ねぽらぼ！！
五期生としてデビューしてもう一年たったのか、
とても早く感じてます。
色々なことがあったけどこれからも応援していくからね！！
ねぽらぼの皆が更なる躍進を遂げることを願って
敬具",
,@miyabi_neko_mk3,みやびねこ,Japan,1ovqsrGW-x-Z-ly6594cdeBeUmiPFzOaH.png,,"ねぽらぼ1周年おめでとうございます！
もうデビューから1年経つのかと驚いてます
いつもわちゃわちゃ、小中学生みたいに楽しそう雰囲気のねぽらぼ楽しく見ています！
これからも楽しんでる姿、楽しみにしてます！",
,네로#7777,Nero,Japan,Default.png,,ねぽらぼ5000000周年おめでとう！！！1億年まで頑張って！！！！！！！！,
,hakubutsu#3690,hakubutsu,Japan,1umaSIU0IHVMpS9oEQIRSHyEJxEvSPkfW.png,,"ねぽらぼのみなさん１周年おめでとう！！！！
１年前それぞれのデビュー配信と振り返り配信を見て
すっごく仲がよさそうで楽しい配信だったことを覚えています！！
それ以降もねぽらぼのみんなのコラボはずっと楽しいものばかりで
もう１年になるのかとびっくりしています！！！
これからもみなさんが好き勝手にでも信頼や仲の良さを感じさせる
日々を楽しみにしています！！！
１周年おめでとうございます！！！",
,重力ペンギン#9906/重力ペンギン@jimmyh5397,重力ペンギン,Taiwan,1rmsz1-EkCW4J9Uwl0ruOWwocYM301xz-.png,,ねぽらぼのみんなの絡みが大好きです！これからも応援していきますので、よろしくお願いいたします。,
,mohi(#4892) / mohi【座員】もひ(@holoholopolka),mohi【座員】もひ,Japan,1KKfZe5PaBknC-TL4PJ03Fh1r4c3Zottj.png,,"ねぽらぼの皆さん、１周年おめでとうございます！

定期的に行われるねぽらぼの企画、大好きです。
自分にとってVtuberの始まりは５期生の皆であり、あのタイミングでのデビューがなかったら、もしかしたら一生５期生もホロライブも知ることはなかったと思います。本当に感謝しかありません。

今は最初の頃よりも更にお互いの事を信頼しあってる様子を見る事ができ、ねぽらぼ配信があるたびにニヤニヤしてしまいます。呼び方がフランクになっていたり、良い意味での無礼講になっていたりするのが大好きです。

これからもずっと仲良しなねぽらぼで居てください。いつか、お泊り会とかして欲しいな。
ねぽらぼは最高の癒やしです。",
,ナオキ#0212 / @naokitype,ナオキ,Japan,Default.png,,"ねぽらぼの皆さん1周年おめでとうございます！！
ねぽらぼコラボは常に仲良くプロレスして本当に楽しいです。ねねぽるはイタズラっ子姉妹。ねねラミはまがまがーず。ねねぼたは微笑ましい母娘。ラミポルはてぇてぇ。ししらみはホラーてぇてぇ。ししポルはけものサーカス。みんなすごく好き。これからも仲良く笑い合って行ってください！",
,みんと（みんと#1943）/ みんと（@310__chocolate）,みんと,Japan,1yn74YE4_MKwaecr-PKNdY5iHxsaCxnQX.png,,ねぽらぼの皆様！1周年おめでとうございます！いつもわちゃわちゃ仲良くしていて、見ていてとても元気を貰えます。これからも皆さんのことを応援していきます。,
,ayAto.pptx#5124,ayAto.pptx,Japan,1mRcQD2rQi5Y2fzD28X6wr4CF-ictw9VT.png,,"ねぽらぼ一周年おめでとうございます🎉
四人が集まる配信はわちゃわちゃしててとても楽しく見させて頂いています！
ねぽらぼの配信を見た後は友達とオンライン飲み会したくなってしまい、今では週一ペースで飲み会やるようになりました。
これからも楽しく配信見させてもらいます！
沢山の楽しい配信をありがとう❗️",
